#;рубеж;с-н/направление/интервал;система/кол-во (интервал);% (интервал);кол-во (рубеж);% (рубеж)
;;;;;;; 03.01.2021 00:00 - 03.01.2021 23:59 *
106;ЛО, 92 км 170 м КАД А-118, от Красносельского ш. к Ропшинскому ш;1308045;АСОД АФАП;;373;0,0%
;;Направление не указано;373;100,0%
107;ЛО, 92 км 170 м КАД А-118, от Красносельского ш. к Ропшинскому ш., крайняя правая полоса;1308048;АСОД АФАП;;2291;0,1%
;;Направление не указано;2291;100,0%
108;ЛО, 94 км 850 м КАД А-118, от Ропшинского ш. к Гостилицкому ш., крайняя левая полоса;1312020;АСОД АФАП;;3;0,0%
;;Направление не указано;3;100,0%
109;ЛО, 94 км 850 м КАД А-118, от Ропшинского ш. к Гостилицкому ш., крайняя правая полоса;1311114;АСОД АФАП;;1933;0,1%
;;Направление не указано;1933;100,0%
110;ЛО, АД Подъезды и проезд по г. Тосно 7 км 328 м на г. СПб, крайняя левая полоса;1310106;АСОД АФАП;;853;0,0%
;;Направление не указано;853;100,0%
111;ЛО, а/д А-181 Скандинавия 50 км 946 м.;MB0197;АСОД АФАП;;6149;0,2%
;;Направление не указано;6149;100,0%
112;ЛО, а/д А-181 Скандинавия 51 км 487 м.;MB0193;АСОД АФАП;;9338;0,3%
;;Направление не указано;9338;100,0%
113;ЛО, а/д А-181 Скандинавия 63 км 341 м.;MB0194;АСОД АФАП;;7798;0,3%
;;Направление не указано;7798;100,0%
114;ЛО, а/д А-181 Скандинавия 64 км 437 м.;MB0195;АСОД АФАП;;6459;0,2%
;;Направление не указано;6459;100,0%
115;ЛО, а/д Новгород-Луга 81 км 900 м, на г. Лугу;1403041;АСОД АФАП;;395;0,0%
;;Направление не указано;395;100,0%
116;ЛО, а/д СПб-Матокса 14 км 55 м нп Токсово, на нп Матокса;1403017;АСОД АФАП;;147;0,0%
;;Направление не указано;147;100,0%
117;ЛО, а\д новгород-Луга 84 км нп Заклинье, на г. Луга;1412034;АСОД АФАП;;1145;0,0%
;;Направление не указано;1145;100,0%
118;ЛО, г. Гатчина, Красноармейский пр., д.28, от ул. Северная;1306062;АСОД АФАП;;4989;0,2%
;;Направление не указано;4989;100,0%
119;Ленинградская область, Приозерский район,  A-121 133+529;MD1007;АСОД АФАП;;5079;0,2%
;;Направление не указано;5079;100,0%
120;Ленинградская область, Приозерский район,  A-121 137+300;MD1011;АСОД АФАП;;5114;0,2%
;;Направление не указано;5114;100,0%
121;Лисий Нос, Приморское ш. д.60, уч. Приморского ш. от Боровой ул. к Лисьеносовскому путепроводу, зона контроля 1;KPA-0084-01;КПА;;3264;0,1%
;;Направление не указано;1;0,0%
;;Встречное направление;3263;100,0%
122;Лисий Нос, Приморское ш. д.60, уч. Приморского ш. от Боровой ул. к Лисьеносовскому путепроводу, зона контроля 2;KPA-0084-03;КПА;;10006;0,3%
;;Встречное направление;10006;100,0%
123;Лисий Нос, Приморское ш. д.60, уч. Приморского ш. от Лисьеносовского путепровода к Авиационной ул., зона контроля 1,2;KPA-0084-02;КПА;;5765;0,2%
;;Направление не указано;1;0,0%
;;Встречное направление;5764;100,0%
124;Ломоносов, Дворцовый просп. д.50, уч. Дворцового просп. от Пароходной ул. к Оранжерейной ул., зона контроля 1;KPA-0081-01;КПА;;5629;0,2%
;;Направление не указано;2;0,0%
;;Встречное направление;3115;55,3%
;;Попутное направление;2512;44,6%
125;Ломоносов, Дворцовый просп. д.9 (перекресток Дворцового просп. и ул. Красного Флота), уч. Дворцового просп. от Кронштадтской ул. к ул. Красного Флота, зона контроля 1,2;KPA-0088-02;КПА;;4031;0,1%
;;Встречное направление;4031;100,0%
126;Ломоносов, Дворцовый просп. д.9 (перекресток Дворцового просп. и ул. Красного Флота), уч. Дворцового просп. от Морской ул. к ул. Красного Флота, зона контроля 1,2;KPA-0088-01;КПА;;2864;0,1%
;;Встречное направление;2864;100,0%
127;Ломоносов, Дворцовый просп. д.9 (перекресток Дворцового просп. и ул. Красного Флота), уч. ул. Красного Флота от Дворцового просп. к Богумиловской ул., зона контроля 1;KPA-0088-03;КПА;;1229;0,0%
;;Встречное направление;1221;99,3%
;;Попутное направление;8;0,7%
128;Ломоносов, Евгения Ефета ул. (~70 м от ж/д. перекресток ул. Евгения Ефета и Краснофлотского ш.), уч. Краснофлотского ш. от ул. Евгения Ефета к ул. Черникова, зона контроля 1;KPA-0092-02;КПА;;1907;0,1%
;;Направление не указано;2;0,1%
;;Встречное направление;1903;99,8%
;;Попутное направление;2;0,1%
129;Ломоносов, Евгения Ефета ул. (~70 м от ж/д. перекресток ул. Евгения Ефета и Краснофлотского ш.), уч. Краснофлотского ш. от ул. Черникова к ул. Евгения Ефета, зона контроля 1;KPA-0092-01;КПА;;2375;0,1%
;;Направление не указано;1;0,0%
;;Встречное направление;2373;99,9%
;;Попутное направление;1;0,0%
130;Ломоносов, Иликовский просп. д.30 к.2, уч. Сойкинской дороги от Новой дороги к Швейцарской ул., зона контроля 1;KPA-0079-01;КПА;;3185;0,1%
;;Направление не указано;1;0,0%
;;Встречное направление;1673;52,5%
;;Попутное направление;1511;47,4%
131;Ломоносов, Иликовский просп. д.30 к.2, уч. Швейцарской ул. от ул. Дегтярёва к Иликовскому просп., зона контроля 1;KPA-0079-02;КПА;;2447;0,1%
;;Встречное направление;1053;43,0%
;;Попутное направление;1394;57,0%
132;Ломоносов, Новогорская ул. д.2, уч. ул. Жоры Антоненко от Новогорской ул. к ул. Некрасова, зона контроля 1;KPA-0087-01;КПА;;1992;0,1%
;;Направление не указано;3;0,2%
;;Встречное направление;1845;92,6%
;;Попутное направление;144;7,2%
133;Ломоносов, Новогорская ул. д.2, уч. ул. Жоры Антоненко от ул. Некрасова к Новогорской ул., зона контроля 1,2;KPA-0087-02;КПА;;3585;0,1%
;;Направление не указано;2;0,1%
;;Встречное направление;2004;55,9%
;;Попутное направление;1579;44,0%
134;Ломоносов, Ораниенбаумский просп. д.49 к.1 (пересечение Ораниенбаумского просп. и Полигонного переулка), уч. Ораниенбаумского просп. от Полигонного пер. к Студенецкий пер., зона контроля 1,2;KPA-0091-02;КПА;;2170;0,1%
;;Встречное направление;2170;100,0%
135;Ломоносов, Ораниенбаумский просп. д.49 к.1 (пересечение Ораниенбаумского просп. и Полигонного переулка), уч. Полигонного пер. от ул. Победы к Ораниенбаумский просп., зона контроля 1,2;KPA-0091-01;КПА;;1332;0,0%
;;Встречное направление;1012;76,0%
;;Попутное направление;320;24,0%
136;Ломоносов, Победы ул. д.22/7, уч. ул. Победы от ул. Скуридина к ул. Федюнинского, зона контроля 1;KPA-0090-01;КПА;;3000;0,1%
;;Встречное направление;2675;89,2%
;;Попутное направление;325;10,8%
137;Ломоносов, Победы ул. д.22/7, уч. ул. Федюнинского от Ораниенбаумского просп. к ул. Победы, зона контроля 1,2;KPA-0090-02;КПА;;2173;0,1%
;;Встречное направление;2173;100,0%
